fecha,titulo,sumario,LastModificationDate,Id,PublicationDate,Url,Nodes_en,AuthorName
03-12-2024,Cultura de la cancelación: ¿Una forma de censura digital?,"La ""cancelación"" o ""funación"" se convirtió en una de las dinámicas sociales más controvertidas y debatidas en la era digital",2024-12-03T14:16:43.55Z,394009,2024-12-03T14:10:00Z,cultura-de-la-cancelacion-una-forma-de-censura-digital,Educación y sociedad,EL DEBER
03-12-2024,"REGEN, un proyecto que busca la regeneración de la Amazonía, premiado en la COP16 de Cali"," Beno Juárez, fundador del Fab Lab Flotante en el Amazonas, señala que el primer paso clave para la ejecución del proyecto es medir el nivel de biodiversidad de estos territorios depredados que buscan revertir su situación",2024-12-03T14:10:03.757Z,394008,2024-12-03T14:07:00Z,regen-un-proyecto-que-busca-la-regeneracion-de-la-amazonia-premiado-en-la-cop16-de-cali,Educación y sociedad,EL DEBER
03-12-2024,Mauro Icardi afirma que Wanda Nara ejerció durante años violencia física contra él,El futbolista del Galatasaray contestó a todas las acusaciones sobre su expareja,2024-12-03T14:57:55.543Z,394011,2024-12-03T14:03:00Z,mauro-icardi-afirma-que-wanda-nara-ejercio-durante-anos-violencia-fisica-contra-el,Sociales,Kathryn Chavez
03-12-2024,Alan Camhi de Camsa: “Se evalúa la compra de nuevas empresas para diversificar la oferta exportable”,"El CEO del Grupo Camsa, habló de la compra de la empresa exportadora Irupana. Entre sus planes está la adquisición de otras compañías, pero también expandir la oferta de productos naturales",2024-12-02T22:22:43.247Z,393955,2024-12-03T14:01:00Z,alan-camhi-de-camsa-se-evalua-la-compra-de-nuevas-empresas-para-diversificar-la-oferta-exportable,"ECONOMÍA, Dinero",Carla Paz Vargas
03-12-2024,"Para la Dirección de Competiciones, el 2025 debe jugarse un torneo largo con 16 equipos
","Klaus Von Landwust, miembro de la Dirección de Competiciones de la Federación Boliviana de Fútbol, emitió su postura sobre los posibles sistemas de campeonatos para el próximo año.",2024-12-03T14:02:02.46Z,394004,2024-12-03T13:59:00Z,para-la-direccion-de-competiciones-el-2025-debe-jugarse-un-torneo-largo-con-16-equipos,Fútbol,Pedro Rivero de Ugarte
03-12-2024,Liderazgo creativo: la clave para impulsar la innovación en las empresas,"Un líder efectivo identifica las fortalezas y debilidades de su equipo, cultivando un entorno donde las ideas fluyen libremente. Este enfoque define el liderazgo creativo, una tendencia clave que impulsa la innovación y fomenta el pensamiento no convencional en las empresas",2024-12-03T14:06:35.257Z,394005,2024-12-03T13:58:00Z,liderazgo-creativo-la-clave-para-impulsar-la-innovacion-en-las-empresas,Educación y sociedad,EL DEBER
03-12-2024,Hijo de la fallecida actriz Sandra Reyes conmueve en las redes con un mensaje a su madre,"Gerónimo, de 15 años, dedicó unas palabras a la intérprete colombiana, que falleció de cáncer de mama.",2024-12-03T14:54:44.633Z,394006,2024-12-03T13:51:00Z,hijo-de-la-fallecida-actriz-sandra-reyes-conmueve-en-las-redes-con-un-mensaje-a-su-madre,Sociales,Kathryn Chavez
03-12-2024,UTEPSA abre las puertas a la innovación: Cowork empresarial en alianza con RIA Ventures transforma el ecosistema académico y empresarial,"Este nuevo espacio físico cuenta con todas las comodidades para que nuevos proyectos e ideas de negocios surjan en este cowork, que destaca por brindar infraestructura y espacios para el desarrollo de proyectos colaborativos entre la universidad y empresas externas",2024-12-03T13:54:46.057Z,394003,2024-12-03T13:48:00Z,utepsa-abre-las-puertas-a-la-innovacion-cowork-empresarial-en-alianza-con-ria-ventures-transforma-el,Te Puede Interesar,EL DEBER
03-12-2024,Daddy Yankee anuncia su divorcio luego de más de dos décadas de matrimonio," Daddy Yankee explicó que, tras meses de intentar salvar su relación, los abogados de ambos respondieron a la solicitud de divorcio presentada por su exesposa",2024-12-03T14:50:56.877Z,394001,2024-12-03T13:39:00Z,daddy-yankee-anuncia-su-divorcio-luego-de-mas-de-dos-decadas-de-matrimonio,Sociales,Kathryn Chavez
03-12-2024,Desde la FBF aguardan por el rival de Totora Real Oruro en el indirecto,"Edwin Callapino, vicepresidente de la Federación Boliviana de Fútbol, prácticamente descartó la anulación de los descensos y afirmó que solo resta conocer el equipo de la División Profesional que jugará el indirecto.


",2024-12-03T13:38:20.44Z,394000,2024-12-03T13:35:00Z,desde-la-fbf-aguardan-por-el-rival-de-totora-real-oruro-en-el-indirecto,Fútbol,Pedro Rivero de Ugarte
03-12-2024,"Automotrices cierran el año con ofertas en bolivianos, caída en las ventas y riesgo de menos stock para 2025","Las ventas se redujeron un 50% por los múltiples problemas para importar y vender. Auguran un 2025 similar, pero ya afinan estrategias para continuar resilientes",2024-12-03T14:09:41.237Z,394002,2024-12-03T13:33:00Z,automotrices-cierran-el-ano-con-ofertas-en-bolivianos-caida-en-las-ventas-y-riesgo-de-menos-stock-pa,"ECONOMÍA, Dinero",Raúl Dominguez
03-12-2024,Intensifican búsqueda de joven que cayó al canal de drenaje de la avenida Libertadores ,El hecho se registró el lunes en la tarde. Las autoridades piden transitar con precaución ,2024-12-03T13:45:05.17Z,393999,2024-12-03T13:26:42Z,intensifican-busqueda-de-joven-que-cayo-al-canal-de-drenaje-de-la-avenida-libertadores,Santa Cruz,EL DEBER
03-12-2024,Evistas ya buscan una sigla para que Evo sea candidato,"“Si no nos devuelven la sigla del MAS – IPSP, esta reunión ha decidido (que) vamos a participar en alianza en las elecciones de 2025"", afirmó Evo Morales ",2024-12-03T13:32:19.823Z,393998,2024-12-03T13:15:00Z,evistas-ya-buscan-una-sigla-para-que-evo-sea-candidato,PAÍS ,Mauricio Quiroz Terán
