Fecha,Título,Sumario,Enlace
04/12/2024,Segip inaugurará el primer sistema automático para cedulación,El Servicio General de Identificación Personal (Segip) inaugurará mañana jueves la estación de Emisión Documental Automatizada (EDA).,https://www.lostiempos.com/actualidad/pais/20241204/segip-inaugurara-primer-sistema-automatico-cedulacion
04/12/2024,Investigan asesinato de empleado de un banco en el trópico,"El fiscal departamental de Cochabamba, Osvaldo Tejerina, informó este miércoles que el Ministerio Público investiga de oficio el asesinato del empleado de un banco con arma de fuego en la localidad de Ivirgarzama en el municipio de Entre Ríos del trópico de Cochabamba.",https://www.lostiempos.com/actualidad/seguridad/20241204/investigan-asesinato-empleado-banco-tropico
04/12/2024,Sentencian a Nallar a 15 años de cárcel por el caso Porongo,"Según el Gobierno, Nallar admitió su culpa en la muerte de los dos policías.",https://www.lostiempos.com/actualidad/pais/20241204/sentencian-nallar-15-anos-carcel-caso-porongo
04/12/2024,Hallan sin vida a niña de seis años desaparecida tras riada en Tacopaya,"Los miembros del SAR-FAB de Cochabamba encontraron este miércoles  el cuerpo sin vida de la niña Deysi Franco Ramírez, de seis años, quien había sido arrastrada por la crecida del río Tacopaya después de la intensas lluvias del pasado lunes.",https://www.lostiempos.com/actualidad/cochabamba/20241204/hallan-vida-nina-seis-anos-desaparecida-riada-tacopaya
04/12/2024,Aprueban declaratoria de emergencia  en Colcapirhua para atender a afectados,El Concejo Municipal de Colcapirhua aprobó este miércoles la Ley Municipal Nº 498 de declaratoria de emergencia para atender a las familias afectadas por el desborde del río Chijllawiri.,https://www.lostiempos.com/actualidad/cochabamba/20241204/aprueban-declaratoria-emergencia-colcapirhua-atender-afectados
04/12/2024,Caída histórica de Barnier: Francia enfrenta un bloqueo político sin precedentes,"Tres meses después de su nombramiento como jefe del Gobierno francés, Michel Barnier cayó este miércoles víctima de una moción de censura apoyada por la izquierda y la extrema derecha, lo que devuelve al presidente de la República, Emmanuel Macron, la responsabilidad de buscar una salida al bloqueo político en el que se encuentra Francia.",https://www.lostiempos.com/actualidad/mundo/20241204/caida-historica-barnier-francia-enfrenta-bloqueo-politico-precedentes
04/12/2024,La OMS investiga enfermedad desconocida que ha causado 79 muertos en RD Congo,"La Organización Mundial de la Salud (OMS) informó de que está investigando sobre el terreno la enfermedad ""de origen aún desconocido"" que al parecer ha causado 79 muertos en el oeste de la República Democrática del Congo (RDC).",https://www.lostiempos.com/actualidad/mundo/20241204/oms-investiga-enfermedad-desconocida-que-ha-causado-79-muertos-rd-congo
04/12/2024,EE.UU. aumenta recompensa a 15 millones por información para capturar al narco El Mencho,"El Departamento de Estado de Estados Unidos anunció este miércoles que aumenta hasta los 15 millones de dólares la oferta de recompensa por información que conduzca al arresto del narcotraficante mexicano Nemesio Rubén Oseguera Cervantes, el 'Mencho'.",https://www.lostiempos.com/actualidad/mundo/20241204/eeuu-aumenta-recompensa-15-millones-informacion-capturar-al-narco-mencho
04/12/2024,Detienen en Quillacollo a conductor de un tracto camión que cargaba 1.200 litros de diésel al día,Un tracto camión fue intervenido por personal de la Agencia Nacional de Hidrocarburos (ANH) en Cochabamba debido a que realizó cargas irregulares de 1.200 litros de diésel cada día durante más de una semana.,https://www.lostiempos.com/actualidad/pais/20241204/detienen-quillacollo-conductor-tracto-camion-que-cargaba-1200-litros-diesel
04/12/2024,Aprehenden al líder del clan Zurita por la toma violenta de tierras en Santa Cruz,"Ariel Zurita, señalado como líder del clan Zurita, fue aprehendido este miércoles como parte de las investigaciones por la toma violenta de tierras en Guarayos, Santa Cruz, según informó el viceministro de Régimen Interior, Jhonny Aguilera.",https://www.lostiempos.com/actualidad/pais/20241204/aprehenden-al-lider-del-clan-zurita-toma-violenta-tierras-santa-cruz
04/12/2024,"Extradición de Dávila podría concretarse antes de Navidad, según Del Castillo","El ministro de Gobierno, Eduardo del Castillo, anunció que las gestiones para la extradición de Maximiliano Dávila, exjefe antidroga del gobierno de Evo Morales, están avanzadas y que esta podría concretarse antes de Navidad.",https://www.lostiempos.com/actualidad/pais/20241204/extradicion-davila-podria-concretarse-antes-navidad-del-castillo
04/12/2024,TCP ratifica elecciones judiciales y advierte sobre incumplimientos legales,"El Tribunal Constitucional Plurinacional (TCP) ratificó la realización de elecciones judiciales programadas para el 15 de diciembre mediante la sentencia 0777/2024, conocida este miércoles.",https://www.lostiempos.com/actualidad/pais/20241204/tcp-ratifica-elecciones-judiciales-advierte-incumplimientos-legales
04/12/2024,Transporte cruceño declara cuarto intermedio en paro tras acuerdo con la Alcaldía para mesas de diálogo,"El paro indefinido del transporte público en Santa Cruz entró en un cuarto intermedio de 48 horas, según confirmaron este miércoles el alcalde Jhonny Fernández y los dirigentes del sector.",https://www.lostiempos.com/actualidad/pais/20241204/transporte-cruceno-declara-cuarto-intermedio-paro-acuerdo-alcaldia-mesas
04/12/2024,Rueda Internacional de Negocios genera más de 50 millones de dólares en intenciones de negocio,"La Cámara de Industria, Comercio y Servicios de Cochabamba (ICAM) celebró con éxito la XXIX Rueda Internacional de Negocios el pasado 4 de noviembre en el hotel Cochabamba. Este evento reunió a más de 200 empresas de diversos sectores, con el objetivo de fomentar la reconstrucción económica del departamento y del país.",https://www.lostiempos.com/actualidad/economia/20241204/rueda-internacional-negocios-genera-mas-50-millones-dolares-intenciones
